Team,Team Clean,Seed,one,two,three,four,five,six,rtt_grp,ss_grp,ee_grp,ff_grp,final_grp
Duke,Duke,1,0.99999,0.823422039,0.62477168,0.485835095,0.327118679,0.185242196,1,1,1,E,1
Siena,Siena,16,1.00E-05,0,0,0,0,0,1,1,1,E,1
Ohio State,OSU,8,0.436507937,0.120088385,0.072453684,0.03255814,0.012874361,0.003334693,8,1,1,E,1
TCU,TCU,9,0.563492063,0.056489576,0.018874489,0.006427061,0.002198062,0.00109954,8,1,1,E,1
St. John's,StJohns,5,0.822335025,0.475580316,0.15125685,0.084566596,0.037367048,0.011004487,5,4,1,E,1
Northern Iowa,NorthernIowa,12,0.177664975,0.071402043,0.01322084,0.003382664,0.001696311,0.000416837,5,4,1,E,1
Kansas,Kansas,4,0.886956522,0.412627669,0.11594329,0.052854123,0.025356211,0.013672241,4,4,1,E,1
California Baptist,CABaptist,13,0.113043478,0.040389972,0.003479168,0.001691332,0.000785022,0.000416837,4,4,1,E,1
Louisville,Louisville,6,0.663648124,0.376754262,0.192918626,0.06038055,0.025356211,0.005502243,6,3,2,E,1
South Florida,SouthFlorida,11,0.336351876,0.072431007,0.021652321,0.004397463,0.001962555,0.000833673,6,3,2,E,1
Michigan State,MSU,3,0.912442396,0.532353772,0.295767149,0.105708245,0.043647225,0.014922751,3,3,2,E,1
North Dakota State,NDSU,14,0.087557604,0.018460959,0.003549561,0.001691332,0.000848156,0.000416837,3,3,2,E,1
UCLA,UCLA,7,0.685393258,0.310046512,0.136480611,0.036786469,0.014051894,0.004585203,7,2,2,E,1
UCF,UCF,10,0.314606742,0.062046512,0.017392848,0.001860465,0.001334537,0.000667578,7,2,2,E,1
Connecticut,Uconn,2,0.946261682,0.620186047,0.328689325,0.120845666,0.056050573,0.03209642,2,2,2,E,1
Furman,Furman,15,0.053738318,0.00772093,0.003549561,0.001014799,0.000508893,0.000416837,2,2,2,E,1
Florida,Florida,1,0.99999,0.771304676,0.529194256,0.349489029,0.174431894,0.098039974,1,1,1,S,1
Prairie View,PrarieView,16,1.00E-05,0,0,0,0,0,1,1,1,S,1
Clemson,Clemson,8,0.448558885,0.110859729,0.042995958,0.014727983,0.007065198,0.001667347,8,1,1,S,1
Iowa,Iowa,9,0.551441115,0.117835596,0.050563247,0.018334836,0.005573656,0.002751122,8,1,1,S,1
Vanderbilt,Vandy,5,0.827123696,0.475533364,0.191074039,0.079125338,0.025356211,0.011004487,5,4,1,S,1
McNeese State,McNeese,12,0.172876304,0.043213799,0.011350933,0.002479711,0.001243506,0.000833673,5,4,1,S,1
Nebraska,Nebraska,4,0.872093023,0.46500227,0.171983834,0.079125338,0.019154537,0.007503059,4,4,1,S,1
Troy,Troy,13,0.127906977,0.016250567,0.002837733,0.001502855,0.00075364,0.000416837,4,4,1,S,1
North Carolina,UNC,6,0.563492063,0.128449438,0.04538953,0.013450556,0.004317621,0.002159811,6,3,2,S,1
VCU,VCU,11,0.436507937,0.105707865,0.026509011,0.00623685,0.002590573,0.001295887,6,3,2,S,1
Illinois*,Illinois,3,0.953101362,0.76494382,0.361399828,0.130748422,0.058876652,0.021675505,3,3,2,S,1
Penn,UPenn,14,0.046898638,0.000898876,0,0,0,0,3,3,2,S,1
Saint Mary's,SaintMarys,7,0.593369754,0.204093128,0.079431677,0.028929967,0.010362291,0.002751122,7,2,2,S,1
Texas A&M,TAMU,10,0.406630246,0.093879084,0.030800038,0.00623685,0.001962555,0.000981732,7,2,2,S,1
Houston,Houston,2,0.957834461,0.691701089,0.454086011,0.268334836,0.13651533,0.05952427,2,2,2,S,1
Idaho,Idaho,15,0.042165539,0.010326699,0.002383904,0.001277427,0.000640594,0.000416837,2,2,2,S,1
Arizona,Arizona,1,0.99999,0.826883721,0.634726911,0.471351745,0.289484697,0.173654138,1,1,1,W,2
Long Island,LongIsland,16,1.00E-05,0,0,0,0,0,1,1,1,W,2
Villanova,Villanova,8,0.448558885,0.08855814,0.033324678,0.011405762,0.004378894,0.001667347,8,1,1,W,2
Utah State,UtahSt,9,0.551441115,0.08455814,0.033324678,0.009504801,0.003980813,0.001667347,8,1,1,W,2
Wisconsin,Wisconsin,5,0.8,0.433393726,0.133125595,0.054004554,0.022133318,0.008253365,5,4,1,W,2
High Point,HighPoint,12,0.2,0.030800038,0.005712802,0.002160182,0.001084111,0.000416837,5,4,1,W,2
Arkansas,Arkansas,4,0.893382353,0.520167827,0.157361724,0.071977269,0.02571605,0.013672241,4,4,1,W,2
Hawaii,Hawaii,13,0.106617647,0.015638409,0.002423613,0.001213262,0.000608889,0.000416837,4,4,1,W,2
BYU,BYU,6,0.651162791,0.204603581,0.081766664,0.014170795,0.006050835,0.002334285,6,3,2,W,2
Texas*,Texas,11,0.348837209,0.078670077,0.025006746,0.006566954,0.003295698,0.001667347,6,3,2,W,2
Gonzaga,Gonzaga,3,0.935672515,0.708235294,0.345956643,0.144040946,0.041878149,0.013672241,3,3,2,W,2
Kennesaw State,KennesawSt,14,0.064327485,0.008491049,0.002248808,0.001125755,0.000564972,0.000416837,3,3,2,W,2
Miami (Fla.),MiamiFL,7,0.542743539,0.187336081,0.074930287,0.016935828,0.006608149,0.001667347,7,2,2,W,2
Missouri,Missouri,10,0.457256461,0.089171975,0.029054601,0.006566954,0.00318465,0.001667347,7,2,2,W,2
Purdue,Purdue,2,0.957834461,0.718808543,0.438787443,0.18784944,0.079616253,0.03209642,2,2,2,W,2
Queens,Queens,15,0.042165539,0.004683402,0.002248808,0.001125755,0.000564972,0.000416837,2,2,2,W,2
Michigan,Michigan,1,0.99999,0.847058824,0.695388669,0.480122324,0.312254946,0.177405668,1,1,1,M,2
UMBC,UMBC,16,1.00E-05,0,0,0,0,0,1,1,1,M,2
Georgia,Georgia,8,0.572059636,0.094117647,0.041809398,0.012911995,0.003980813,0.001667347,8,1,1,M,2
Saint Louis,SLU,9,0.427940364,0.058823529,0.019060167,0.004926945,0.002627336,0.001000408,8,1,1,M,2
Texas Tech,TTU,5,0.740871614,0.435769162,0.12551603,0.047230717,0.022133318,0.006335917,5,4,1,M,2
Akron,Akron,12,0.259128386,0.04252278,0.006236276,0.001698947,0.000852635,0.00055714,5,4,1,M,2
Alabama,Alabama,4,0.852459016,0.487314633,0.103293808,0.03695209,0.013057066,0.004585203,4,4,1,M,2
Hofstra,Hofstra,13,0.147540984,0.034393425,0.008695652,0.002123683,0.001065794,0.000416837,4,4,1,M,2
Tennessee,Tennessee,6,0.663648124,0.398460411,0.172786177,0.060652396,0.019426366,0.006335917,6,3,2,M,2
SMU*,SMU,11,0.336351876,0.083302786,0.0187473,0.004672103,0.002344747,0.001667347,6,3,2,M,2
Virginia,Virginia,3,0.93111639,0.509164223,0.210712743,0.070761128,0.02571605,0.011004487,3,3,2,M,2
Wright State,WrightSt,14,0.06888361,0.009072581,0.002419006,0.001019368,0.000511581,0.000416837,3,3,2,M,2
Kentucky,Kentucky,7,0.593369754,0.143980528,0.061684665,0.018433571,0.008757788,0.003334693,7,2,2,M,2
Santa Clara,SantaClara,10,0.406630246,0.10400674,0.043196544,0.011213048,0.003980813,0.001667347,7,2,2,M,2
Iowa State,ISU,2,0.957834461,0.748923423,0.488293737,0.246262317,0.093628714,0.043851213,2,2,2,M,2
Tennessee State,TennSt,15,0.042165539,0.003089309,0.002159827,0.001019368,0.000511581,0.000416837,2,2,2,M,2